scorer,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000
bodyparts,Snout,Snout,Snout,LFL,LFL,LFL,RFL,RFL,RFL,LHL,LHL,LHL,RHL,RHL,RHL,Tailtip,Tailtip,Tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
102,133.4615858,200.2791481,1,113.5732629,207.9584413,0.360634476,49.09057903,213.6071415,1,20.29984614,213.3190184,1,4.526553154,204.2989712,0.999051988,730.6286989,205.7985467,0.001174003
103,136.3050952,200.6136189,1,57.63793731,212.0335808,0.037727278,48.37814808,213.3923655,1,22.55525208,213.7152107,1,18.43232715,205.2758703,1,-0.358484745,199.2743616,0.000327661
104,136.3031845,200.6019125,1,57.61911511,212.0130467,0.036470495,48.36053443,213.3576403,1,22.7011869,213.6540346,1,18.51000714,205.0996571,1,-0.384996891,199.3560519,0.000331992
105,141.0795994,200.7172966,1,58.43932593,212.9053635,0.999810159,46.3474133,214.3990514,0.999999881,29.56292057,210.5739121,0.999987125,24.16474104,211.0101275,1,730.2170008,206.2636821,0.002221644
106,141.0795994,200.7172966,1,58.43932593,212.9053635,0.999810159,46.3474133,214.3990514,0.999999881,29.56292057,210.5739121,0.999987125,24.16474104,211.0101275,1,730.2170008,206.2636821,0.002221644
107,145.299715,199.3954616,1,133.5152262,208.8570781,1,49.57612562,214.5232103,1,34.13565731,210.4145656,1,26.32209301,211.6731141,1,730.1406087,205.7250609,0.002695483
108,145.2735376,199.3635244,1,133.5316155,208.8221779,1,49.60031557,214.4973106,1,34.14752901,210.3878882,1,26.31666851,211.6634848,1,730.0927846,205.6938826,0.004014659
109,149.6890051,200.8686547,1,135.682163,211.8769321,1,49.83931804,213.1054525,1,39.30093241,211.9660951,1,22.64050198,212.1987953,1,728.9457209,205.5909986,0.004272368
110,149.6890051,200.8686547,1,135.682163,211.8769321,1,49.83931804,213.1054525,1,39.30093241,211.9660951,1,22.64050198,212.1987953,1,728.9457209,205.5909986,0.004272368
111,154.3530111,201.0763388,1,140.7157959,213.2328987,1,57.15698528,208.3635831,1,39.13441205,212.1983819,1,21.78379989,212.7496853,1,728.9894197,205.0127037,0.000929065
112,154.355989,201.0766401,1,140.7125418,213.2245741,1,57.13917446,208.3771024,1,39.11462927,212.1941697,1,21.77671909,212.740077,1,728.9359629,204.9659151,0.000932932
113,158.1884813,201.2163358,1,142.3681803,213.878746,1,66.65980053,203.2180853,1,39.58919144,213.8336124,1,21.45267546,213.3560524,1,728.8994796,205.3201691,0.000361931
114,158.1884813,201.2163358,1,142.3681803,213.878746,1,66.65980053,203.2180853,1,39.58919144,213.8336124,1,21.45267546,213.3560524,1,728.8994796,205.3201691,0.000361931
115,162.813623,200.4307332,1,143.1068733,214.4326062,1,73.98792315,197.9182122,1,28.11235756,214.7937961,1,45.02702892,214.9958339,1,729.1421926,205.9923269,0.007747449
116,162.8141794,200.4295321,1,143.106544,214.4374871,1,73.98907423,197.9197552,1,28.11311503,214.7913721,1,45.02624607,214.9937739,1,729.114023,206.0084274,0.007907969
117,167.6644874,201.7094259,1,143.1322029,213.5360179,1,82.56933796,197.6983156,1,28.99764323,215.0494475,1,44.38180143,215.3240569,1,725.753354,207.6084409,0.015912192
118,167.6644874,201.7094259,1,143.1322029,213.5360179,1,82.56933796,197.6983156,1,28.99764323,215.0494475,1,44.38180143,215.3240569,1,725.753354,207.6084409,0.015912192
119,172.2066584,202.7191162,1,143.832772,213.7357074,1,91.10891819,199.8336742,1,32.48462868,214.6101022,0.999999404,42.97959363,215.6549852,0.99999845,724.9465618,207.4438186,0.009275766
120,172.08885,202.837184,1,144.0045066,213.8956132,1,91.78898191,199.6049933,1,34.93950391,214.6148052,0.999999404,24.33570862,215.34886,0.999998093,725.2975703,207.4976826,0.001841938
121,175.8454185,202.5927653,1,143.61766,213.4973582,1,101.291832,200.3087101,1,35.85765399,213.5407633,0.999987841,26.13900042,214.988296,0.999999642,4.650826037,204.036532,0.000338294
122,175.8358598,202.5620465,1,143.5076339,213.6903847,1,101.4760818,200.2973356,1,34.38417196,213.5944796,0.999989986,25.9087553,214.623565,0.999996305,0.330745459,168.8376651,0.000476477
123,179.7624478,204.0889282,1,143.6769867,214.9842284,1,113.0705004,200.9184222,1,34.53888655,212.9910733,0.999999642,26.35145712,214.1303003,0.999982476,184.4598773,207.2820387,0.000392149
124,179.7518764,204.0865574,1,143.6712859,214.9941878,1,113.0613437,200.9431086,1,34.52575481,212.999042,0.999999642,26.33772135,214.1150296,0.999983191,184.4458058,207.2774191,0.000388839
125,183.0889277,204.6639462,1,143.8857884,215.0896189,1,120.2819295,200.1152759,1,27.0047664,210.6548243,0.999997497,42.73316026,215.5174663,1,17.85481358,206.894027,0.000623579
126,183.0889277,204.6639462,1,143.8857884,215.0896189,1,120.2819295,200.1152759,1,27.0047664,210.6548243,0.999997497,42.73316026,215.5174663,1,17.85481358,206.894027,0.000623579
127,185.8341556,205.1712656,1,143.6538315,215.3340752,1,130.2427597,202.3668661,1,30.09671307,206.5832212,0.99999547,44.63136721,215.2097766,1,1.457048655,180.5761542,0.000990875
128,185.828856,205.1754122,1,143.7029047,215.3877676,1,130.3748045,202.3430481,1,30.10310769,206.7144074,0.999996424,44.71195233,215.2076097,1,1.424827576,180.4913377,0.000743878
129,187.8575108,204.7347221,1,141.792624,214.9569173,1,138.7368369,202.3281507,1,38.99494433,207.1847124,0.002825748,45.85236549,214.8992579,1,0.325951338,177.011673,0.000402386
130,187.8579066,204.760169,1,141.5990827,215.0638812,1,138.763556,202.4268069,1,38.46422815,207.2103405,0.005140045,45.72669792,215.0148654,1,729.2060702,206.3311315,0.008091955
131,191.6374958,205.0964813,1,142.3267064,214.5862839,1,140.8721817,203.7644038,1,63.87652206,211.1834903,0.038466301,45.32946932,215.1629281,1,198.5436702,207.602541,0.000681361
132,191.7277267,205.0762005,1,142.3195367,214.5050035,1,140.2843828,204.1437559,1,63.93095064,211.2171342,0.039709963,45.33354795,215.1916893,1,198.6357408,207.6034117,0.000637021
133,194.5291958,205.1437941,1,142.4301968,214.1343908,1,144.4520054,205.4978135,1,65.94147062,210.7317892,0.042818852,45.25105917,214.9246895,1,729.8475387,206.1775143,0.001647315
134,194.5357313,205.047308,1,142.1140313,214.2209361,1,144.5443985,205.6710391,1,65.79827523,211.0393537,0.020057954,45.10530245,214.7299607,1,730.3560684,207.288615,0.002636936
135,197.0900824,205.4057779,1,143.4776003,214.2801161,1,154.6698432,206.8492577,1,65.70000315,210.939733,0.001876887,45.61536515,214.9570119,1,50.21702194,215.1694098,0.000379368
136,197.1337407,205.4137535,1,143.8235269,214.1814442,1,154.4171891,206.825094,1,65.68150258,211.0137895,0.001675938,45.59529698,214.9694366,1,50.25059891,215.1815495,0.000357384
137,200.9181056,205.0542583,1,142.7237992,214.6790187,1,155.5241288,209.1510725,1,85.60429049,204.3417867,0.00836268,45.95450461,214.3441529,1,730.2001014,207.2705681,0.018826254
138,200.9441094,205.1356039,1,143.5423183,214.649148,1,155.635594,209.4178414,1,85.39407229,204.1957356,0.004125888,45.76235151,214.3157518,1,729.6973715,206.9640622,0.012835283
139,204.7414847,204.6858549,1,141.8664527,215.0758557,1,157.0382692,212.4904137,1,100.7229097,203.8403752,0.037669398,46.00657248,214.4248304,1,729.7096024,207.5794823,0.00200053
140,204.5081119,204.7035294,1,141.8456625,215.0645881,1,156.9975075,212.431448,1,100.8500583,203.7597208,0.044211764,46.00637913,214.3413928,1,50.34729862,214.6019917,0.000424453
141,207.9372597,205.2677593,1,142.7500806,215.6211848,1,157.1980481,214.1674843,1,114.6016493,201.5027246,0.0161919,45.96526885,214.3496776,1,2.145697117,179.2631804,0.001600616
142,207.9372597,205.2677593,1,142.7500806,215.6211848,1,157.1980481,214.1674843,1,114.6016493,201.5027246,0.0161919,45.96526885,214.3496776,1,2.145697117,179.2631804,0.001600616
143,210.5867043,205.3790693,1,142.8090365,215.1482511,1,157.2780327,214.9906311,1,117.0132915,201.3047843,1,45.65140009,214.1935022,1,2.645237088,179.3379441,0.001713703
144,210.5801301,205.354126,1,142.6809232,215.2158849,1,157.2481161,214.985837,1,117.0342976,201.3936868,1,45.78104734,214.1676288,1,2.620478034,179.185726,0.001636025
145,213.0085396,204.9621067,1,141.563663,213.5481052,0.999999762,156.9077213,214.5514421,1,124.4954594,204.1118746,1,45.08025849,213.5137178,1,2.516041994,178.7899489,0.001631321
146,213.0085396,204.9621067,1,141.563663,213.5481052,0.999999762,156.9077213,214.5514421,1,124.4954594,204.1118746,1,45.08025849,213.5137178,1,2.516041994,178.7899489,0.001631321
147,215.793808,205.3627863,1,145.0777552,212.5331444,0.999928355,155.8551698,214.8402052,1,132.5198261,209.5978994,1,45.36378372,213.3961893,1,2.360410929,178.7003144,0.001587496
148,215.7998321,205.3789415,1,145.0313258,212.5207768,0.999930024,155.8510327,214.8224204,1,132.4959075,209.6001854,1,45.42024708,213.3877522,1,2.439330101,178.795771,0.002089595
149,218.6711426,205.0794287,1,145.3978367,212.0843195,0.999987364,157.3937992,214.8646693,1,135.0571423,211.635859,1,44.4897323,213.0397912,1,2.365576625,178.2158078,0.002853836
150,218.7166533,205.1946573,1,145.3528273,211.7391194,0.999984622,157.4223765,214.855952,1,135.2024012,211.9383745,1,44.69381309,213.2987541,1,2.308655977,178.1756192,0.002302704
151,221.5033262,205.2420931,1,146.3472509,211.9747921,0.99982518,155.6074595,215.213599,1,134.8008535,211.5198312,1,45.05499542,212.5257995,1,1.550315619,171.0370274,0.011365223
152,221.5057387,205.2482481,1,146.3530084,211.9515049,0.99981302,155.6267848,215.2045972,1,134.8191316,211.5356331,1,45.03010106,212.5260297,1,1.55561161,171.0486402,0.011466142
153,224.2477922,205.0200596,1,148.1663966,212.9235637,0.995172679,153.9456091,215.1000381,1,134.9830849,211.7241731,1,46.03009725,211.31992,1,1.432606936,170.3604701,0.077151321
154,224.2477922,205.0200596,1,148.1663968,212.9235638,0.995172679,153.9456091,215.1000381,1,134.9830849,211.7241731,1,46.03009725,211.31992,1,1.432606936,170.3604701,0.077151321
155,227.1004148,204.2574015,1,151.0696869,212.041339,0.995988548,154.1682429,215.1552026,1,134.6191237,212.2825394,1,53.94681001,205.667133,1,3.933801651,167.2016864,0.99996686
156,227.102417,204.2551498,1,151.0713944,212.0408767,0.995987833,154.1680465,215.155627,1,134.6193981,212.2824736,1,53.94636798,205.6669189,1,3.932408333,167.2031617,0.999966979
157,229.2179941,203.9174328,1,150.1454089,209.7992618,0.710039139,154.5885367,215.2652471,1,135.0186749,212.4516973,1,61.38337541,199.673593,0.999997139,5.385909557,166.4975817,0.999999881
158,229.2179941,203.9174328,1,150.1454089,209.7992618,0.710039139,154.5885367,215.2652471,1,135.0186749,212.4516973,1,61.38337541,199.673593,0.999997139,5.385909557,166.4975817,0.999999881
159,232.6636338,203.4036589,1,150.8467135,208.6487558,0.013348634,156.005798,216.5575724,1,134.7430551,213.2433882,1,68.07463906,196.0948534,1,7.998874664,166.4886231,1
160,232.6638346,203.4048748,1,150.8434818,208.6525071,0.013418857,156.0016348,216.5600319,1,134.738271,213.2472134,1,68.07599726,196.0963478,1,7.996623516,166.4891121,1
161,235.258853,202.879128,1,185.2968421,207.6906233,0.999469936,155.6747832,216.029798,1,134.9313769,214.2268229,1,78.21931529,194.6052947,1,10.2204994,168.0563645,1
162,235.3180809,202.8752003,1,184.3911333,206.9216685,0.999295592,155.6174908,216.1920247,1,135.0650778,214.3771591,1,78.44134021,194.7172728,1,10.28534925,168.0975208,1
163,238.2310648,201.7937837,1,151.2402878,210.1710305,0.023786953,155.4759784,216.255456,1,135.2377419,214.8652678,1,87.94184232,193.657836,1,13.78575981,169.1501474,1
164,238.2319937,201.793499,1,151.2330165,210.1820713,0.022325262,155.4379802,216.2673445,1,135.2004113,214.8717327,1,87.93967748,193.642467,1,13.83978796,169.2885747,1
165,240.1908641,201.0526218,1,152.5310564,210.6024252,0.016827416,155.2108846,216.107626,1,136.0963974,214.3103054,1,94.99445701,196.3951626,1,16.89328623,172.0016546,1
166,240.1908641,201.0526218,1,152.5310564,210.6024252,0.016827416,155.2108846,216.107626,1,136.0963974,214.3103054,1,94.99445701,196.3951626,1,16.89328623,172.0016546,1
167,243.7361779,201.063499,1,227.697781,205.8092599,0.999667048,155.2343254,216.7554393,1,137.3036766,214.0739791,1,101.1205055,198.8448515,1,19.33543491,175.2201257,1
168,243.7412896,201.062768,1,227.6952514,205.810225,0.999666929,155.2369599,216.754396,1,137.3037305,214.0740426,1,101.1201516,198.8432913,1,19.33078796,175.222357,1
169,247.0923345,200.4102774,1,233.2211046,208.8131585,1,155.751821,216.6430368,1,134.9044642,213.8413191,1,110.0556464,201.435288,1,21.6964885,178.9121933,1
170,247.0923345,200.4102774,1,233.2211046,208.8131585,1,155.751821,216.6430373,1,134.9044642,213.8413191,1,110.0556464,201.435288,1,21.6964885,178.9121933,1
171,249.5799994,200.2744641,1,234.2548642,212.0426426,1,154.595252,216.0240979,1,132.8954673,214.0263362,1,119.9426525,202.4711795,1,25.52713251,180.8536739,1
172,249.5846424,200.2734976,1,234.2488775,212.0415125,1,154.595067,216.0245061,1,132.897468,214.0246015,1,119.9426889,202.4703093,1,25.52738667,180.8526258,1
173,251.6612449,200.743103,1,231.6566281,214.6853573,1,154.5497394,215.1206234,1,135.153435,213.5989782,1,129.8734846,203.643826,1,29.34023285,181.9084399,1
174,251.6612449,200.743103,1,231.6566281,214.6853573,1,154.5497394,215.1206234,1,135.153435,213.5989782,1,129.8734846,203.643826,1,29.34023285,181.9084399,1
175,253.8439331,202.0158057,1,231.5746193,214.8848956,1,156.0770035,215.655237,1,134.2631025,215.4727423,1,140.2833602,206.8702745,1,33.30160904,182.8326206,1
176,253.845521,202.011447,1,231.5749364,214.8793654,1,156.0733023,215.6488833,1,134.2711415,215.4711373,1,140.2796466,206.8681889,1,33.31205034,182.8345745,1
177,256.6160102,202.8163338,1,231.9635794,215.2647281,1,157.7036096,214.5424998,1,135.9348316,213.9682364,1,145.6141911,206.884131,1,37.06425095,183.3684494,1
178,256.6160102,202.8163338,1,231.9635794,215.2647281,1,157.7036096,214.5424998,1,135.9348316,213.9682364,1,145.6141911,206.884131,1,37.06425095,183.3684494,1
179,259.8183293,204.3120756,1,231.5019636,215.8165209,1,159.4507015,214.865808,1,136.4106717,213.9415575,1,147.7613079,207.3853457,1,40.38496208,184.6970963,1
180,259.7940788,204.3789234,1,231.2183411,215.7563961,1,159.2592218,214.9210618,1,136.3424411,213.7454774,1,147.4044221,207.4632614,1,40.24146605,184.6711273,1
181,261.7550975,205.196003,1,231.4248343,215.5614016,1,161.1273265,213.945693,1,135.8646553,213.3298762,1,151.1969078,207.2920268,1,43.34061718,185.6716309,1
182,261.8261088,205.2822857,1,231.6262033,215.5024831,1,161.0087924,213.8969464,1,135.8906207,213.4445521,1,151.0699155,207.55281,1,43.57026815,185.8029613,1
183,264.621542,205.2503138,1,231.2679439,214.7618494,1,164.4554176,213.5320139,1,135.7253268,213.6144636,1,154.0340186,209.7729464,1,45.57473087,187.0125537,1
184,264.6305985,205.2749605,1,231.2450383,214.7834396,1,164.4553251,213.5161123,1,135.7202351,213.6055963,1,154.0316241,209.7613592,1,45.59204853,187.0111628,1
185,267.458137,204.8700733,1,231.0646482,214.9520922,1,170.0496398,210.6399536,1,136.6689372,214.8426895,1,155.7721542,210.709365,1,48.27194881,188.8989859,1
186,267.458138,204.8700733,1,231.0646482,214.9520922,1,170.0496398,210.6399536,1,136.6689372,214.8426895,1,155.7721542,210.709365,1,48.27194881,188.8989859,1
187,271.9652214,204.3016644,1,231.8262146,214.9446502,1,176.4469972,205.4080734,1,136.5724211,214.9330556,1,156.7343206,211.8434067,1,50.01201224,189.855566,1
188,271.9161365,204.283042,1,231.7300782,215.0195489,1,176.5205374,205.9535456,1,136.6801133,215.0374815,1,156.5583409,211.4996266,1,49.9871819,189.9333525,1
189,275.6416302,204.5104275,1,231.5576587,214.8250506,1,182.9981174,201.6601958,1,135.2068458,214.4621289,1,157.2679051,213.0642308,1,51.01802188,190.6817846,1
190,275.5053926,204.3154068,1,231.6634707,214.7484045,1,182.8610837,201.7093391,1,135.2115002,214.4309161,1,157.6688989,212.9345227,1,51.0097084,190.6531792,1
191,277.7718889,205.3982687,1,231.5663629,215.6160476,1,190.3705053,201.9196286,1,135.3087955,214.3179286,1,156.8066414,213.8412642,1,51.74510306,190.4265718,1
192,277.8615779,205.2826309,1,231.7516947,215.4312055,1,190.3529091,201.998292,1,135.221082,214.329915,1,156.8242532,213.8800255,1,51.81604373,190.3506279,1
193,280.3707452,205.6296225,1,231.2884855,216.0173125,1,197.1181211,201.784688,1,136.6494145,213.1540203,1,156.2761081,214.1064515,1,53.0413698,190.8113241,1
194,280.2083206,205.4314699,1,231.3141811,216.2543836,1,197.3872061,201.2263126,1,136.7342234,213.3741045,1,155.945389,213.9722282,1,53.0033958,190.9348307,1
195,283.6053608,205.1727533,1,230.8737485,216.4067163,1,203.8037977,201.6884503,1,135.6897235,214.0109112,1,155.9015747,214.2494442,1,54.87009048,191.0923882,1
196,283.6044585,205.1574574,1,230.862699,216.391274,1,203.7976422,201.6199336,1,135.6729794,213.9684,1,154.9867029,213.8804357,1,54.9880302,191.0207167,1
197,287.0985804,205.1227436,1,230.7758062,216.7777538,1,213.733964,201.9321289,1,135.3101563,212.1180115,1,155.227406,214.3675816,1,57.13082314,191.0006237,1
198,287.0985804,205.1227436,1,230.775806,216.7777543,1,213.733964,201.9321289,1,135.3101563,212.1180115,1,155.227406,214.3675816,1,57.13082314,191.0006237,1
199,290.223863,205.2975931,1,230.0168617,215.9117343,1,224.4451261,201.4203639,1,137.7717543,212.6294171,1,156.7883197,214.9331264,1,59.78007126,191.0621018,1
200,290.2178392,205.2585211,1,230.1864641,215.9682264,1,224.5953679,201.3471026,1,137.7855625,212.6654238,1,156.7358989,214.9620438,1,59.64732838,191.124619,1
201,292.5051772,205.9924927,1,232.2057266,214.6067829,1,230.5276313,202.0766807,1,139.391485,211.4742451,1,156.5170782,214.8544705,1,62.27786255,191.5508232,1
202,292.5051772,205.9924927,1,232.2057266,214.6067832,1,230.5276313,202.0766807,1,139.391485,211.4742451,1,156.5170782,214.8544705,1,62.27786255,191.5508232,1
203,293.9535645,206.0651121,1,232.2624922,213.802227,1,239.3913302,203.1440477,1,139.3483993,211.464696,0.99999249,152.51472,214.9555285,1,64.02841806,191.4293492,1
204,293.9592407,206.0730104,1,232.3198028,213.7678883,1,239.5328705,202.9720969,1,139.2744409,211.391529,0.999992728,152.4606175,214.9114218,1,64.03504372,191.4112744,1
205,295.8301229,206.2225885,1,231.2388163,214.6302681,1,245.1736788,202.7720385,1,140.1023864,209.3465934,0.99999094,154.996335,214.9368556,1,65.0945704,191.1107054,1
206,295.8301229,206.2225885,1,231.2388163,214.6302681,1,245.1736788,202.7720385,1,140.1023864,209.3465934,0.99999094,154.996335,214.9368556,1,65.0945704,191.1107054,1
207,299.6018918,205.9539871,1,230.9244871,215.3738644,1,254.7839196,205.1654062,1,145.9515128,211.1757765,0.059661735,155.3148437,214.8152175,1,67.24253833,190.5781021,1
208,299.5627412,205.9442329,1,230.931,215.3825006,1,254.8014739,205.1750507,1,145.9428182,211.199841,0.055948451,155.2035584,214.7820685,1,67.26840281,190.6870594,1
209,302.3903232,205.7555332,1,230.5873854,215.1016362,1,261.6951427,206.6956861,1,225.5871649,213.9052448,0.006671575,155.8328571,215.4546785,1,69.90073895,189.9918737,1
210,302.2125039,205.7141438,1,230.4957538,215.1371093,1,260.1400083,207.5613871,1,225.4293413,213.842494,0.005966254,155.7808571,215.3523815,1,69.84763384,189.9099169,1
211,305.603219,205.3389378,1,230.9949572,215.4389105,1,264.0467119,208.9128184,1,224.9641247,212.6766749,0.046265259,155.9217916,215.7367182,1,72.84014463,190.2002144,1
212,305.6092792,205.3415298,1,231.0372174,215.3388281,1,264.042336,208.9140439,1,224.9197512,212.6578621,0.043476671,155.9338503,215.7125823,1,72.83941746,190.1982861,1
213,308.2294734,205.5185814,1,231.0525708,215.518281,1,266.9280219,212.1008787,1,224.6075268,212.4774243,0.053504333,156.1481915,216.1707687,1,76.67693889,190.3773069,1
214,308.1840014,205.5580206,1,231.0779288,215.5265903,1,266.9161458,212.073,1,180.6013618,209.1238737,0.069633521,156.132226,216.0613894,1,76.54717863,190.2571707,1
215,310.3766079,205.8300619,1,231.2151952,215.1221972,1,268.1663037,213.6052265,1,195.1637145,205.8749737,0.999999881,155.1561594,215.8917046,1,80.23303747,190.5456147,1
216,310.3752398,205.8603659,1,231.2280564,215.1230249,1,268.1835945,213.6071539,1,195.2935141,205.8530163,0.999999881,155.1640019,215.8967638,1,80.21283054,190.556284,1
217,312.2872453,205.517436,1,230.1682177,215.1731596,1,268.0453968,214.4881268,1,203.816498,203.5179677,1,155.5938573,215.9057829,1,82.23667789,190.225153,1
218,312.2872453,205.517436,1,230.1682177,215.1731596,1,268.0453968,214.4881268,1,203.816498,203.5179677,1,155.5938573,215.9057829,1,82.23667789,190.225153,1
219,316.1789336,204.5481806,1,230.9887154,215.0598049,1,268.3281486,214.4472513,1,211.0854683,203.4392366,1,155.7882857,215.9549782,1,85.86784661,187.8966975,1
220,316.1789991,204.547718,1,230.9786804,215.0494518,1,268.3282728,214.4450493,1,211.0814104,203.4368582,1,155.7845807,215.9504628,1,85.87371075,187.8883138,1
221,319.6674516,203.5555243,1,231.8267734,214.2513921,1,267.5121474,214.8121405,1,218.7375098,204.8487892,1,156.0731745,215.6420898,1,89.32502794,186.3211708,1
222,319.6674516,203.5555243,1,231.8267734,214.2513921,1,267.5121474,214.8121405,1,218.7375098,204.8487892,1,156.0731745,215.6420898,1,89.32502794,186.3211708,1
223,322.7292345,203.6129622,1,233.1742816,213.1796674,1,267.4370727,214.9429293,1,225.5584264,206.5995369,1,155.9942045,215.3637166,1,92.8668642,184.0475688,1
224,322.7124939,203.6085911,1,233.1644678,213.1738882,1,267.4223149,214.9683123,1,225.5540214,206.5926073,1,155.9988432,215.3653989,1,92.86723328,184.0488639,1
225,325.5141155,204.0410604,1,236.9181506,212.2071711,0.999999166,267.0354081,215.3668909,1,230.8751194,211.2281566,1,155.6423349,215.1485868,1,96.40096712,183.2908041,1
226,325.5141152,204.0410604,1,236.9181506,212.2071711,0.999999166,267.0354081,215.3668909,1,230.8751194,211.2281566,1,155.6423349,215.1485868,1,96.40096712,183.2908041,1
227,328.4811206,204.6006508,1,239.3686938,213.1484149,0.999998093,267.3562392,214.9435329,1,231.2804053,211.0867801,1,154.5367699,214.8717864,1,98.72902787,182.5799856,1
228,328.4827847,204.6026726,1,239.3693247,213.1479515,0.999997973,267.3565208,214.9439468,1,231.2797372,211.086175,1,154.538147,214.8726604,1,98.73996699,182.5815983,1
229,330.945724,204.2061853,1,241.1988518,212.61329,0.999994874,267.5400789,215.4964495,1,230.7648685,212.519598,1,154.5609107,214.8758194,1,102.0811436,182.1250505,1
230,330.945724,204.2061853,1,241.1988518,212.61329,0.999994874,267.5400789,215.4964495,1,230.7648685,212.519598,1,154.5609107,214.8758194,1,102.0811436,182.1250505,1
231,335.2773433,202.5669541,1,243.4831504,211.6021481,0.999998927,267.9676701,215.5828705,1,231.1610396,212.4485331,1,155.0891767,214.4903045,1,104.3443627,181.5048529,1
232,335.2767382,202.5654869,1,243.479032,211.6014496,0.999998927,267.9653484,215.5823689,1,231.1556435,212.4485703,1,155.0913658,214.4948399,1,104.714684,181.4590731,1
233,338.6025329,201.3508968,1,253.0776089,210.5315945,0.999877453,267.6428778,215.9498558,1,232.9356375,212.1646957,1,156.9209756,212.7066966,1,107.4188311,181.0813656,1
234,338.6025329,201.3508968,1,253.0776089,210.5315945,0.999877453,267.6428778,215.9498558,1,232.9356375,212.1646957,1,156.9209756,212.7066966,1,107.4188311,181.0813656,1
235,341.816727,201.5424795,1,261.4351825,208.3262963,0.799252808,268.0044212,216.5047703,1,234.6718035,212.2189655,1,162.3233,209.3038888,1,110.7122235,180.01074,1
236,341.816947,201.543992,1,261.4288149,208.3256168,0.799247622,268.0061378,216.5077438,1,234.6756811,212.2232809,1,162.3242445,209.3045845,1,110.7083502,180.0128198,1
237,344.3663173,201.5425839,1,272.5733809,208.4492369,0.048409678,267.6128025,217.6038523,1,235.3799131,212.6977491,1,175.6627162,202.9278898,1,112.1037536,180.3934727,1
238,344.3663173,201.5425839,1,272.5733809,208.4492369,0.048409678,267.6128025,217.6038523,1,235.3799131,212.6977491,1,175.6627162,202.9278898,1,112.1037536,180.3934727,1
239,346.5245733,201.1942258,1,274.3912497,208.1491122,0.010040299,267.7780371,217.6229749,1,234.8198113,213.8381605,1,189.5437384,199.4371085,1,114.1559005,181.7587233,1
240,346.5472054,201.2851105,1,273.9924273,208.3491168,0.010894555,267.853703,217.8577485,1,234.9247074,213.8273058,1,189.4783764,199.6308637,1,114.0825057,181.9258041,1
241,349.805665,200.9738212,1,271.4520195,209.464566,0.053858306,267.7117858,217.5414996,1,234.7309445,214.5185728,1,201.6877189,201.8785524,1,116.6412416,183.3370047,1
242,349.8561621,201.1990485,1,275.7582269,209.6137691,0.038413972,267.4406304,217.5994277,1,234.6974831,214.517272,1,201.6130667,201.8872218,1,116.5659918,183.2446051,1
243,353.0516362,200.6470613,1,276.0246849,210.9168644,0.022925723,266.9841337,217.4730568,1,234.3079023,214.1922941,1,214.2440817,204.137188,1,118.344564,184.01337,1
244,353.0312142,200.6641335,1,275.9886165,210.9926105,0.023562431,266.9419689,217.4757462,1,234.2368929,214.2700672,1,214.3077395,204.1512403,1,118.3871467,184.007575,1
245,357.0282087,201.1957893,1,334.3003013,208.3241377,1,267.8739858,217.2556062,1,235.3567238,215.7636044,1,228.9936743,206.6836815,1,120.5145822,185.0219946,1
246,357.0282087,201.1957893,1,334.3003013,208.3241377,1,267.8739858,217.2556062,1,235.3567238,215.7636044,1,228.9936743,206.6836815,1,120.5145822,185.0219946,1
247,359.0752721,201.9665084,1,330.2170334,211.8378525,1,267.835557,217.6240478,1,238.1504216,211.757523,1,239.0304642,211.2833514,1,123.4078403,185.1817875,1
248,359.1019893,201.9508648,1,332.6676424,211.0268016,1,267.8832612,217.6142426,1,238.2778521,211.5648555,1,239.4781177,210.2400469,1,123.331254,185.1166973,1
249,362.0051947,203.1371827,1,331.0541143,212.9138432,1,268.4105778,216.9390535,1,243.2093925,210.7384348,1,240.9764862,211.1615879,0.999999881,125.6304295,186.0094528,1
250,361.9167705,202.9278054,1,331.3071637,212.7962341,1,268.5346966,217.2892289,1,244.6726515,210.0364345,1,239.6762028,211.3729413,0.999999881,125.7493823,185.8240299,1
