coords,Snoutx,Snouty,LFLx,LFLy,RFLx,RFLy,LHLx,LHLy,RHLx,RHLy,Tailtipx,Tailtipy
84,110.9280884,205.4137411,20.52516651,211.1946845,44.87152481,214.1815565,19.1413269,214.9355602,37.23381329,212.8341184,117.8932066,207.9355927
85,113.0209594,206.2519865,21.8333168,211.3092195,46.14937782,215.3669119,19.29965782,214.0578938,38.02890205,212.4191055,119.0703917,208.2301159
86,113.0618911,206.3041191,21.92772293,211.2042957,46.34985113,215.2843666,19.13076597,214.064888,37.9357481,212.4172044,729.8497758,205.4393305
87,114.496415,206.5886955,22.23467827,211.7615944,45.48416495,214.77318,20.89105558,213.1550827,18.51067162,212.4313216,730.7871932,205.282655
88,114.4803364,206.5921087,22.22970867,211.7445538,45.47729266,214.7610435,20.92392325,213.1481256,18.5605588,212.4177551,730.8222935,205.4160991
89,116.1928553,205.8316545,22.6512804,211.7279328,45.74118173,214.6358747,21.34640896,213.2624598,19.30981874,211.9598007,-1.982246399,204.0133806
90,116.1928553,205.8316545,22.6512804,211.7279328,45.74118173,214.6358747,21.34640896,213.2624598,19.30981874,211.9598007,-1.982246399,204.0133806
91,118.5384452,205.5077763,28.18224049,211.6545607,45.75910771,214.2821131,21.33529782,213.5475082,19.27420473,211.8496037,-1.922143936,204.0716896
92,118.526794,205.5050745,28.14039993,211.6477223,45.79398227,214.3046341,21.36049104,213.5950136,19.29083014,211.8797045,-1.888719559,204.093704
93,121.1885958,203.8496785,36.78333366,211.6028329,46.48670554,214.0789194,22.12503028,213.860836,18.2456708,211.8888693,-1.690384865,203.7674267
94,121.1885958,203.8496785,36.78333366,211.6028329,46.48670554,214.0789194,22.12503028,213.860836,18.2456708,211.8888693,-1.690384865,203.7674267
95,123.9811893,203.1892014,38.59012699,211.0727814,47.93990064,214.1854324,23.41352105,213.5774984,18.55033493,212.1993127,-1.187774658,203.7478277
96,123.9830375,203.1880503,38.57673025,211.0665216,47.91968894,214.169632,23.40748167,213.5712633,18.52309465,212.1944456,-1.185380459,203.7475925
97,126.7569509,201.6554265,48.16987371,210.2077217,49.24812222,214.3394566,24.29608727,214.0224438,16.7877202,211.8258964,-1.204154491,203.1096876
98,126.8010814,201.6446023,48.1253562,210.5154419,49.2102356,214.4654551,24.32951689,214.0013132,16.67531013,211.7739286,-1.177983761,203.1219921
99,130.3606925,200.7031994,114.7003068,207.7501783,49.98896265,214.1430817,24.70732498,213.5073109,15.56459761,210.7178196,-0.911134243,202.6856965
100,130.3655686,200.7020383,114.7025431,207.7467093,49.99805069,214.1366205,24.70791531,213.5053043,15.56186748,210.7138635,-0.912803173,202.6863524
101,133.4615858,200.2791481,113.5732629,207.9584413,49.09057903,213.6071415,20.29984614,213.3190184,4.526553154,204.2989712,730.6286989,205.7985467
102,133.4615858,200.2791481,113.5732629,207.9584413,49.09057903,213.6071415,20.29984614,213.3190184,4.526553154,204.2989712,730.6286989,205.7985467
103,136.3050952,200.6136189,57.63793731,212.0335808,48.37814808,213.3923655,22.55525208,213.7152107,18.43232715,205.2758703,-0.358484745,199.2743616
104,136.3031845,200.6019125,57.61911511,212.0130467,48.36053443,213.3576403,22.7011869,213.6540346,18.51000714,205.0996571,-0.384996891,199.3560519
105,141.0795994,200.7172966,58.43932593,212.9053635,46.3474133,214.3990514,29.56292057,210.5739121,24.16474104,211.0101275,730.2170008,206.2636821
106,141.0795994,200.7172966,58.43932593,212.9053635,46.3474133,214.3990514,29.56292057,210.5739121,24.16474104,211.0101275,730.2170008,206.2636821
107,145.299715,199.3954616,133.5152262,208.8570781,49.57612562,214.5232103,34.13565731,210.4145656,26.32209301,211.6731141,730.1406087,205.7250609
108,145.2735376,199.3635244,133.5316155,208.8221779,49.60031557,214.4973106,34.14752901,210.3878882,26.31666851,211.6634848,730.0927846,205.6938826
109,149.6890051,200.8686547,135.682163,211.8769321,49.83931804,213.1054525,39.30093241,211.9660951,22.64050198,212.1987953,728.9457209,205.5909986
110,149.6890051,200.8686547,135.682163,211.8769321,49.83931804,213.1054525,39.30093241,211.9660951,22.64050198,212.1987953,728.9457209,205.5909986
111,154.3530111,201.0763388,140.7157959,213.2328987,57.15698528,208.3635831,39.13441205,212.1983819,21.78379989,212.7496853,728.9894197,205.0127037
112,154.355989,201.0766401,140.7125418,213.2245741,57.13917446,208.3771024,39.11462927,212.1941697,21.77671909,212.740077,728.9359629,204.9659151
113,158.1884813,201.2163358,142.3681803,213.878746,66.65980053,203.2180853,39.58919144,213.8336124,21.45267546,213.3560524,728.8994796,205.3201691
114,158.1884813,201.2163358,142.3681803,213.878746,66.65980053,203.2180853,39.58919144,213.8336124,21.45267546,213.3560524,728.8994796,205.3201691
115,162.813623,200.4307332,143.1068733,214.4326062,73.98792315,197.9182122,28.11235756,214.7937961,45.02702892,214.9958339,729.1421926,205.9923269
116,162.8141794,200.4295321,143.106544,214.4374871,73.98907423,197.9197552,28.11311503,214.7913721,45.02624607,214.9937739,729.114023,206.0084274
117,167.6644874,201.7094259,143.1322029,213.5360179,82.56933796,197.6983156,28.99764323,215.0494475,44.38180143,215.3240569,725.753354,207.6084409
118,167.6644874,201.7094259,143.1322029,213.5360179,82.56933796,197.6983156,28.99764323,215.0494475,44.38180143,215.3240569,725.753354,207.6084409
119,172.2066584,202.7191162,143.832772,213.7357074,91.10891819,199.8336742,32.48462868,214.6101022,42.97959363,215.6549852,724.9465618,207.4438186
120,172.08885,202.837184,144.0045066,213.8956132,91.78898191,199.6049933,34.93950391,214.6148052,24.33570862,215.34886,725.2975703,207.4976826
121,175.8454185,202.5927653,143.61766,213.4973582,101.291832,200.3087101,35.85765399,213.5407633,26.13900042,214.988296,4.650826037,204.036532
122,175.8358598,202.5620465,143.5076339,213.6903847,101.4760818,200.2973356,34.38417196,213.5944796,25.9087553,214.623565,0.330745459,168.8376651
123,179.7624478,204.0889282,143.6769867,214.9842284,113.0705004,200.9184222,34.53888655,212.9910733,26.35145712,214.1303003,184.4598773,207.2820387
124,179.7518764,204.0865574,143.6712859,214.9941878,113.0613437,200.9431086,34.52575481,212.999042,26.33772135,214.1150296,184.4458058,207.2774191
125,183.0889277,204.6639462,143.8857884,215.0896189,120.2819295,200.1152759,27.0047664,210.6548243,42.73316026,215.5174663,17.85481358,206.894027
126,183.0889277,204.6639462,143.8857884,215.0896189,120.2819295,200.1152759,27.0047664,210.6548243,42.73316026,215.5174663,17.85481358,206.894027
127,185.8341556,205.1712656,143.6538315,215.3340752,130.2427597,202.3668661,30.09671307,206.5832212,44.63136721,215.2097766,1.457048655,180.5761542
128,185.828856,205.1754122,143.7029047,215.3877676,130.3748045,202.3430481,30.10310769,206.7144074,44.71195233,215.2076097,1.424827576,180.4913377
129,187.8575108,204.7347221,141.792624,214.9569173,138.7368369,202.3281507,38.99494433,207.1847124,45.85236549,214.8992579,0.325951338,177.011673
130,187.8579066,204.760169,141.5990827,215.0638812,138.763556,202.4268069,38.46422815,207.2103405,45.72669792,215.0148654,729.2060702,206.3311315
131,191.6374958,205.0964813,142.3267064,214.5862839,140.8721817,203.7644038,63.87652206,211.1834903,45.32946932,215.1629281,198.5436702,207.602541
132,191.7277267,205.0762005,142.3195367,214.5050035,140.2843828,204.1437559,63.93095064,211.2171342,45.33354795,215.1916893,198.6357408,207.6034117
133,194.5291958,205.1437941,142.4301968,214.1343908,144.4520054,205.4978135,65.94147062,210.7317892,45.25105917,214.9246895,729.8475387,206.1775143
134,194.5357313,205.047308,142.1140313,214.2209361,144.5443985,205.6710391,65.79827523,211.0393537,45.10530245,214.7299607,730.3560684,207.288615
135,197.0900824,205.4057779,143.4776003,214.2801161,154.6698432,206.8492577,65.70000315,210.939733,45.61536515,214.9570119,50.21702194,215.1694098
136,197.1337407,205.4137535,143.8235269,214.1814442,154.4171891,206.825094,65.68150258,211.0137895,45.59529698,214.9694366,50.25059891,215.1815495
137,200.9181056,205.0542583,142.7237992,214.6790187,155.5241288,209.1510725,85.60429049,204.3417867,45.95450461,214.3441529,730.2001014,207.2705681
138,200.9441094,205.1356039,143.5423183,214.649148,155.635594,209.4178414,85.39407229,204.1957356,45.76235151,214.3157518,729.6973715,206.9640622
139,204.7414847,204.6858549,141.8664527,215.0758557,157.0382692,212.4904137,100.7229097,203.8403752,46.00657248,214.4248304,729.7096024,207.5794823
140,204.5081119,204.7035294,141.8456625,215.0645881,156.9975075,212.431448,100.8500583,203.7597208,46.00637913,214.3413928,50.34729862,214.6019917
141,207.9372597,205.2677593,142.7500806,215.6211848,157.1980481,214.1674843,114.6016493,201.5027246,45.96526885,214.3496776,2.145697117,179.2631804
142,207.9372597,205.2677593,142.7500806,215.6211848,157.1980481,214.1674843,114.6016493,201.5027246,45.96526885,214.3496776,2.145697117,179.2631804
143,210.5867043,205.3790693,142.8090365,215.1482511,157.2780327,214.9906311,117.0132915,201.3047843,45.65140009,214.1935022,2.645237088,179.3379441
144,210.5801301,205.354126,142.6809232,215.2158849,157.2481161,214.985837,117.0342976,201.3936868,45.78104734,214.1676288,2.620478034,179.185726
145,213.0085396,204.9621067,141.563663,213.5481052,156.9077213,214.5514421,124.4954594,204.1118746,45.08025849,213.5137178,2.516041994,178.7899489
146,213.0085396,204.9621067,141.563663,213.5481052,156.9077213,214.5514421,124.4954594,204.1118746,45.08025849,213.5137178,2.516041994,178.7899489
147,215.793808,205.3627863,145.0777552,212.5331444,155.8551698,214.8402052,132.5198261,209.5978994,45.36378372,213.3961893,2.360410929,178.7003144
148,215.7998321,205.3789415,145.0313258,212.5207768,155.8510327,214.8224204,132.4959075,209.6001854,45.42024708,213.3877522,2.439330101,178.795771
149,218.6711426,205.0794287,145.3978367,212.0843195,157.3937992,214.8646693,135.0571423,211.635859,44.4897323,213.0397912,2.365576625,178.2158078
150,218.7166533,205.1946573,145.3528273,211.7391194,157.4223765,214.855952,135.2024012,211.9383745,44.69381309,213.2987541,2.308655977,178.1756192
151,221.5033262,205.2420931,146.3472509,211.9747921,155.6074595,215.213599,134.8008535,211.5198312,45.05499542,212.5257995,1.550315619,171.0370274
152,221.5057387,205.2482481,146.3530084,211.9515049,155.6267848,215.2045972,134.8191316,211.5356331,45.03010106,212.5260297,1.55561161,171.0486402
153,224.2477922,205.0200596,148.1663966,212.9235637,153.9456091,215.1000381,134.9830849,211.7241731,46.03009725,211.31992,1.432606936,170.3604701
154,224.2477922,205.0200596,148.1663968,212.9235638,153.9456091,215.1000381,134.9830849,211.7241731,46.03009725,211.31992,1.432606936,170.3604701
155,227.1004148,204.2574015,151.0696869,212.041339,154.1682429,215.1552026,134.6191237,212.2825394,53.94681001,205.667133,3.933801651,167.2016864
156,227.102417,204.2551498,151.0713944,212.0408767,154.1680465,215.155627,134.6193981,212.2824736,53.94636798,205.6669189,3.932408333,167.2031617
157,229.2179941,203.9174328,150.1454089,209.7992618,154.5885367,215.2652471,135.0186749,212.4516973,61.38337541,199.673593,5.385909557,166.4975817
158,229.2179941,203.9174328,150.1454089,209.7992618,154.5885367,215.2652471,135.0186749,212.4516973,61.38337541,199.673593,5.385909557,166.4975817
159,232.6636338,203.4036589,150.8467135,208.6487558,156.005798,216.5575724,134.7430551,213.2433882,68.07463906,196.0948534,7.998874664,166.4886231
160,232.6638346,203.4048748,150.8434818,208.6525071,156.0016348,216.5600319,134.738271,213.2472134,68.07599726,196.0963478,7.996623516,166.4891121
161,235.258853,202.879128,185.2968421,207.6906233,155.6747832,216.029798,134.9313769,214.2268229,78.21931529,194.6052947,10.2204994,168.0563645
162,235.3180809,202.8752003,184.3911333,206.9216685,155.6174908,216.1920247,135.0650778,214.3771591,78.44134021,194.7172728,10.28534925,168.0975208
163,238.2310648,201.7937837,151.2402878,210.1710305,155.4759784,216.255456,135.2377419,214.8652678,87.94184232,193.657836,13.78575981,169.1501474
164,238.2319937,201.793499,151.2330165,210.1820713,155.4379802,216.2673445,135.2004113,214.8717327,87.93967748,193.642467,13.83978796,169.2885747
165,240.1908641,201.0526218,152.5310564,210.6024252,155.2108846,216.107626,136.0963974,214.3103054,94.99445701,196.3951626,16.89328623,172.0016546
166,240.1908641,201.0526218,152.5310564,210.6024252,155.2108846,216.107626,136.0963974,214.3103054,94.99445701,196.3951626,16.89328623,172.0016546
167,243.7361779,201.063499,227.697781,205.8092599,155.2343254,216.7554393,137.3036766,214.0739791,101.1205055,198.8448515,19.33543491,175.2201257
168,243.7412896,201.062768,227.6952514,205.810225,155.2369599,216.754396,137.3037305,214.0740426,101.1201516,198.8432913,19.33078796,175.222357
169,247.0923345,200.4102774,233.2211046,208.8131585,155.751821,216.6430368,134.9044642,213.8413191,110.0556464,201.435288,21.6964885,178.9121933
170,247.0923345,200.4102774,233.2211046,208.8131585,155.751821,216.6430373,134.9044642,213.8413191,110.0556464,201.435288,21.6964885,178.9121933
171,249.5799994,200.2744641,234.2548642,212.0426426,154.595252,216.0240979,132.8954673,214.0263362,119.9426525,202.4711795,25.52713251,180.8536739
172,249.5846424,200.2734976,234.2488775,212.0415125,154.595067,216.0245061,132.897468,214.0246015,119.9426889,202.4703093,25.52738667,180.8526258
173,251.6612449,200.743103,231.6566281,214.6853573,154.5497394,215.1206234,135.153435,213.5989782,129.8734846,203.643826,29.34023285,181.9084399
174,251.6612449,200.743103,231.6566281,214.6853573,154.5497394,215.1206234,135.153435,213.5989782,129.8734846,203.643826,29.34023285,181.9084399
175,253.8439331,202.0158057,231.5746193,214.8848956,156.0770035,215.655237,134.2631025,215.4727423,140.2833602,206.8702745,33.30160904,182.8326206
176,253.845521,202.011447,231.5749364,214.8793654,156.0733023,215.6488833,134.2711415,215.4711373,140.2796466,206.8681889,33.31205034,182.8345745
177,256.6160102,202.8163338,231.9635794,215.2647281,157.7036096,214.5424998,135.9348316,213.9682364,145.6141911,206.884131,37.06425095,183.3684494
178,256.6160102,202.8163338,231.9635794,215.2647281,157.7036096,214.5424998,135.9348316,213.9682364,145.6141911,206.884131,37.06425095,183.3684494
179,259.8183293,204.3120756,231.5019636,215.8165209,159.4507015,214.865808,136.4106717,213.9415575,147.7613079,207.3853457,40.38496208,184.6970963
180,259.7940788,204.3789234,231.2183411,215.7563961,159.2592218,214.9210618,136.3424411,213.7454774,147.4044221,207.4632614,40.24146605,184.6711273
181,261.7550975,205.196003,231.4248343,215.5614016,161.1273265,213.945693,135.8646553,213.3298762,151.1969078,207.2920268,43.34061718,185.6716309
182,261.8261088,205.2822857,231.6262033,215.5024831,161.0087924,213.8969464,135.8906207,213.4445521,151.0699155,207.55281,43.57026815,185.8029613
183,264.621542,205.2503138,231.2679439,214.7618494,164.4554176,213.5320139,135.7253268,213.6144636,154.0340186,209.7729464,45.57473087,187.0125537
184,264.6305985,205.2749605,231.2450383,214.7834396,164.4553251,213.5161123,135.7202351,213.6055963,154.0316241,209.7613592,45.59204853,187.0111628
185,267.458137,204.8700733,231.0646482,214.9520922,170.0496398,210.6399536,136.6689372,214.8426895,155.7721542,210.709365,48.27194881,188.8989859
186,267.458138,204.8700733,231.0646482,214.9520922,170.0496398,210.6399536,136.6689372,214.8426895,155.7721542,210.709365,48.27194881,188.8989859
187,271.9652214,204.3016644,231.8262146,214.9446502,176.4469972,205.4080734,136.5724211,214.9330556,156.7343206,211.8434067,50.01201224,189.855566
188,271.9161365,204.283042,231.7300782,215.0195489,176.5205374,205.9535456,136.6801133,215.0374815,156.5583409,211.4996266,49.9871819,189.9333525
